"","firstname","surname","party","Eutanasia.pitäisi.sallia.","Haluaisin.että.alueeni.terveyspalveluiden.tuottaja.on.mieluummin.julkinen.kuin.yksityinen.","Homo..ja.lesbopareilla.pitää.olla.samat.avioliitto..ja.adoptio.oikeudet.kuin.heteropareilla.","Hyvä.veli..verkostot.ohjaavat.kuntien.päätöksentekoa.","Jos.kansalaisen.terveysongelmien.voidaan.katsoa.johtua.omista.elintavoista..hänen.pitäisi.osallistua.hoidon.kustannuksiin.","Jos.tulee.eteen.tilanne..jossa.on.välttämätöntä.joko.leikata.julkisia.palveluita.ja.sosiaalietuuksia.tai.korottaa.veroja..veronkorotukset.ovat.parempi.vaihtoehto.","Jos.valtio.tarjoaa.turvapaikanhakijoiden.vastaanottokeskuksen.perustamista.kotikuntaani..tarjous.pitää.hyväksyä.","Julkisia.palveluita.pitäisi.ulkoistaa.nykyistä.enemmän.kunnilta.yrityksille.","Julkisia.palveluita.tulisi.ulkoistaa.entistä.enemmän.yksityisten.yritysten.tuotettavaksi.","Julkisten.terveyspalvelujen.asiakasmaksut.tulisi.poistaa.kokonaan.","Kaikessa.päätöksenteossa.pitäisi.arvioida.vaikutukset.ympäristöön.ja.tarvittaessa.luopua.ympäristölle.haitallisista.hankkeista.","Kannatan.kotikuntani.liittämistä.isompaan.kuntaan.tai.kuntien.yhdistymistä.kotikuntani.kanssa.","Kasvisruoan.määrää.pitäisi.lisätä.kouluissa.ja.liharuuan.vähentää.","Kerjääminen.kaduilla.pitäisi.kieltää.lailla.","Kirjastojen.kirjoista.pitäisi.maksaa.lainausmaksua.kunnan.taloustilanteen.helpottamiseksi.","Kirjastojen.pitäisi.keskittyä.kirjoihin..eikä.laajentua.enempää.tavaroiden.lainaamiseen.tai.muille.vastaaville.uusille.alueille","Koko.Suomi.on.syytä.pitää.asuttuna..vaikka.se.tietäisikin.veronmaksajille.kustannuksia.","Koko.Suomi.tulisi.pitää.asuttuna..vaikka.se.kävisikin.kalliiksi.veronmaksajille.","Kotikunnassani.pitäisi.olla.maksuton.julkinen.liikenne..vaikka.se.nostaisi.veroäyriä.","Kotikuntani.pitäisi.ottaa.aktiivisesti.vastaan.kotoutettavia.turvapaikanhakijoita.","Kouluissa.kohdellaan.koululaisia.liian.lepsusti..Tiukempi.kuri.tekisi.kouluista.parempia.","Koulujen.liikuntatuntien.pitäisi.olla.tytöille.ja.pojille.yhteiset.","Koululuokat.pitäisi.jakaa.oppilaiden.lahjakkuuden.perusteella.tasoryhmiin.","Koululuokissa.tulisi.olla.ylärajat.maahanmuuttajalasten.osuudelle.","Kulttuuripalveluista..museot..teatterit..orkesterit..voidaan.säästää.leikkaamalla.","Kunnassani.on.tärkeämpää.huolehtia.yksityisautoilun.edellytyksistä.kuin.joukkoliikenteestä.","Kuntalaisten.valitusoikeutta.kaavoituskysymyksissä.tulee.rajoittaa.","Kuntani.nykyinen.kouluverkko.tulee.säilyttää.sellaisenaan..vaikka.se.aiheuttaisi.kustannuksia.kuntalaisille.","Kuntani.pitäisi.luopua.vaatimuksesta.rakentaa.autopaikkoja.uusien.asuntojen.yhteyteen.","Kuntani.pitäisi.rohkeammin.käyttää.maiden.pakkolunastuksia.kaavoituksen.vauhdittamiseksi.","Kuntani.pitäisi.tukea.rahallisesti.lasten.hoitamista.kotona.nykyistä.enemmän.","Kuntani.pitää.auttaa.ihmisiä..vaikka.he.oleskelisivat.Suomessa.laittomasti.","Kuntani.pitää.taata.kokopäiväinen.päivähoitopaikka.kaikille.alle.3.vuotiaille..vaikka.näiden.vanhemmista.toinen.olisikin.kotona.","Kuntien.virkoja.täytettäessä.pitäisi.olla.sukupuolikiintiöt.","Lasten.päivähoidon.hinta.pitäisi.suhteuttaa.nykyistä.vahvemmin.vanhempien.tuloihin.","Maahanmuuttajataustaisten.lasten.osuudella.koululuokassa.pitäisi.olla.yläraja.","Monikulttuurisuus.on.kunnalle.hyvä.asia.","Nykyisen.kaltaiset.palvelut.ja.sosiaalietuudet.ovat.pitemmän.päälle.liian.raskaita.julkiselle.taloudelle.","On.parempi..että.kunta.nostaa.veroäyriä.kuin.että.se.leikkaa.palveluistaan.","Oppilaiden.kännykät.pitäisi.jättää.oppitunnin.ajaksi.luokkahuoneen.ulkopuolelle.","Perinteiset.arvot...kuten.koti..uskonto.ja.isänmaa...muodostavat.hyvän.arvopohjan.politiikalle.","Pyörätiet.ja.jalkakäytävät.pitäisi.puhdistaa.lumesta.ja.hiekoittaa.ennen.autoteitä.","Pääomatuloista.pitäisi.maksaa.veroa.kotikuntaan.siinä.missä.ansiotuloistakin.","Rikkaiden.asuinalueilla.ei.tarvita.yhtä.hyviä.julkisia.palveluita.kuin.vähävaraisilla.","Suomalaisten.auttaminen.pitäisi.olla.etusijalla.ulkomaalaisiin.verrattuna.","Suuret.tuloerot.ovat.hyväksyttäviä..jotta.erot.ihmisten.lahjakkuudessa.ja.ahkeruudessa.voidaan.palkita.","Talouskasvu.ja.työpaikkojen.luominen.tulisi.asettaa.ympäristöasioiden.edelle..silloin.kun.nämä.kaksi.ovat.keskenään.ristiriidassa.","Tuloerojen.kasvusta.on.haittaa.yhteiskunnalle.","Vanhempien.oikeutta.valita.lastensa.koulu.tulisi.rajoittaa."
"21","Aarno","Lyytinen","kok",5,1,5,3,2,1,5,5,5,1,4,5,4,5,1,1,5,5,1,5,4,5,4,2,2,4,4,4,1,2,5,5,2,1,4,1,5,5,2,5,4,2,3,2,2,2,4,2,5
"34","Abdirahim (Husu)","Mohamed","sdp",1,4,3,3,1,5,5,2,2,4,5,1,4,4,1,2,2,2,4,2,1,5,2,5,1,2,4,4,2,2,3,2,5,2,3,5,5,2,5,5,4,3,3,1,4,2,2,4,2
"38","Ada","Saarinen","vihr",4,5,5,2,1,5,5,1,1,5,5,4,5,1,1,2,2,2,4,5,1,5,2,2,1,1,2,4,5,2,1,5,5,4,2,2,5,2,5,2,3,4,2,1,1,1,1,5,4
"41","Ahmed","Esse","vas",1,5,1,5,1,4,5,1,1,5,5,4,4,2,1,1,4,4,4,5,4,1,1,1,1,1,1,2,2,2,4,5,5,4,5,1,5,1,4,4,3,5,4,2,2,1,1,5,1
"49","Ahto","Apajalahti","pir",5,3,5,4,1,4,5,4,4,3,5,1,5,1,1,1,2,2,4,4,1,4,1,2,2,1,2,3,5,3,2,5,5,1,3,2,4,2,4,1,5,3,4,4,1,1,2,4,1
"94","Aino","Samela","kd",1,4,1,3,2,4,4,4,4,4,5,2,4,4,2,2,4,4,2,2,4,2,1,2,4,1,1,2,4,2,5,2,2,2,5,2,3,4,4,5,5,4,4,4,4,2,2,5,2
"97","Aino","Toiviainen-Koskinen","vihr",5,5,5,2,1,5,5,1,2,5,5,3,5,1,1,1,4,4,2,5,2,5,2,1,1,1,1,4,5,3,5,5,5,1,4,1,5,1,5,2,1,2,5,1,1,1,1,5,4
"98","Aino","Tuominen","vihr",5,1,5,4,2,2,4,4,4,2,5,5,5,2,1,2,1,1,4,4,2,4,4,2,4,1,4,2,4,5,2,4,5,4,1,2,4,3,2,5,2,4,4,1,2,4,2,3,1
"159","Aleksi","Niskanen","ps",2,4,5,4,1,2,1,2,2,5,2,1,1,5,1,5,1,1,1,1,5,1,2,5,5,2,1,5,1,1,4,1,1,1,5,5,1,4,2,5,4,1,2,1,5,1,5,5,1
"181","Alexis","Nikkinen","vas",5,5,5,3,2,4,5,1,1,5,5,3,4,1,1,1,4,4,4,5,2,4,1,2,2,1,2,4,2,1,4,4,5,2,4,2,5,2,4,1,2,2,4,1,2,2,1,5,2
"183","Ali","Hosseini","vihr",5,3,5,3,2,5,5,2,2,1,5,5,3,5,1,2,1,1,1,5,2,3,1,5,3,5,2,3,2,2,5,5,2,3,3,5,5,5,4,5,2,1,5,3,1,1,3,5,4
"204","Alviina","Alametsä","vihr",5,5,5,4,1,5,5,1,1,5,5,4,5,1,1,1,1,1,4,5,1,5,1,1,1,1,2,2,5,2,1,5,5,2,4,1,5,1,5,1,2,5,5,1,1,1,1,5,2
"206","Amanda","Pasanen","vihr",4,2,5,3,2,4,5,2,2,4,5,3,5,1,1,1,2,2,2,5,2,4,2,1,1,1,2,2,5,2,2,5,5,4,3,1,5,2,4,2,2,4,2,2,1,1,1,5,2
"219","Andreas","Forsberg","kd",1,2,2,4,2,4,2,2,2,2,4,2,4,2,1,2,2,2,2,3,4,2,2,4,4,1,2,2,4,2,4,4,3,2,4,4,3,3,4,4,4,1,2,4,2,4,2,4,4
"225","Andrey","Veremenko","vihr",4,2,5,2,2,4,5,2,2,2,5,4,5,2,1,1,2,2,2,5,1,5,1,1,1,1,2,4,5,2,2,5,4,2,2,2,5,2,4,2,2,2,4,1,2,2,2,4,2
"230","Anette","Kuusela","ps",3,5,4,4,1,4,4,2,2,1,2,1,2,5,1,2,2,2,2,2,5,2,1,4,4,2,4,5,1,2,2,1,2,2,2,4,2,4,4,1,4,2,1,1,1,2,4,2,1
"233","Anil","Rampal","kesk",3,4,3,4,2,4,4,2,2,4,4,4,2,4,2,4,4,4,2,4,4,2,2,3,2,2,4,5,2,4,4,2,2,3,4,3,5,2,4,2,4,4,4,2,4,2,2,4,2
"236","Anita","Hellman","sdp",4,5,5,4,1,4,5,1,1,2,4,2,2,2,1,2,4,5,2,5,3,4,3,1,4,2,2,5,4,1,2,5,4,2,4,1,5,2,4,4,2,3,5,1,1,2,3,5,3
"249","Anitta","Iline","vas",3,5,3,1,2,2,4,2,1,2,2,4,2,4,1,2,2,2,4,2,2,4,1,1,1,2,1,2,1,1,4,2,2,1,4,1,4,3,2,3,4,3,4,2,1,1,2,1,2
"258","Anja","Malm","vihr",1,4,5,2,1,4,5,2,2,4,5,4,5,1,1,4,5,4,2,5,2,4,1,1,1,1,4,2,4,2,1,4,5,2,4,1,5,1,4,2,2,4,4,1,1,1,1,5,1
"259","Anja","Meijula","kd",1,4,2,4,1,2,5,2,2,2,4,4,4,2,1,2,4,4,2,4,2,1,4,4,2,2,1,4,4,2,4,2,2,2,4,5,4,4,2,1,4,1,4,2,4,2,2,4,2
"268","Anna Maria","Kantola","sdp",4,5,5,4,2,5,4,1,1,5,5,2,2,2,1,1,4,4,5,2,1,4,1,1,1,1,2,5,4,2,4,2,5,2,2,1,5,1,5,2,1,2,5,1,2,1,2,5,2
